Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",13.050000,7.550000,90.000000,top
"C2","0.1uF","C_0402_1005Metric",1.930000,20.510000,-90.000000,top
"C3","0.1uF/35V","C_0603_1608Metric",24.300000,19.900000,90.000000,top
"C4","4.7uF","C_0402_1005Metric",24.100000,17.800000,180.000000,top
"C5","22nf/50V","C_0603_1608Metric",26.600000,21.175000,0.000000,top
"C6","0.1uF/35V","C_0603_1608Metric",29.400000,22.950000,180.000000,top
"C7","0.1uF/35V","C_0603_1608Metric",29.250000,9.900000,180.000000,top
"C8","100uF/35V","CP_Elec_6.3x7.7",36.750000,29.450000,180.000000,top
"C9","0.1uF","C_0402_1005Metric",26.000000,12.700000,0.000000,top
"C10","0.1uF","C_0402_1005Metric",12.400000,24.300000,180.000000,top
"C11","0.1uF","C_0402_1005Metric",11.300000,14.300000,180.000000,top
"C12","15pF","C_0402_1005Metric",7.250000,21.650000,-90.000000,top
"C13","15pF","C_0402_1005Metric",7.250000,23.600000,90.000000,top
"C14","10uF/35V","C_1206_3216Metric",15.550000,29.250000,0.000000,top
"C15","22uF","C_0805_2012Metric",7.050000,18.700000,0.000000,top
"C16","0.1uF/35V","C_0603_1608Metric",36.500000,24.450000,90.000000,top
"C17","4.7uF","C_0402_1005Metric",18.700000,25.300000,-90.000000,top
"C18","1uF","C_0402_1005Metric",14.300000,24.300000,0.000000,top
"C19","0.1uF","C_0402_1005Metric",8.700000,30.850000,-90.000000,top
"C20","1nF 50V","C_0402_1005Metric",34.250000,25.000000,90.000000,top
"C21","1nF 50V","C_0402_1005Metric",35.200000,25.000000,-90.000000,top
"C22","10uF/35V","C_1206_3216Metric",30.917100,25.327600,0.000000,top
"C23","10uF","C_0402_1005Metric",11.300000,15.300000,180.000000,top
"C24","0.1uF","C_0402_1005Metric",5.130000,25.370000,90.000000,top
"C25","0.1uF","C_0402_1005Metric",15.040000,9.170000,180.000000,top
"C26","1nF 50V","C_0402_1005Metric",38.750000,24.950000,90.000000,top
"C27","10uF","C_0402_1005Metric",10.900000,24.800000,-90.000000,top
"C28","1nF 50V","C_0402_1005Metric",37.750000,24.950000,-90.000000,top
"C29","100nF","C_0402_1005Metric",32.400000,19.100000,90.000000,top
"C30","0.1uF","C_0402_1005Metric",6.260000,23.820000,90.000000,top
"C31","0.1uF","C_0402_1005Metric",1.650000,22.090000,0.000000,top
"C33","4.7uF","C_0402_1005Metric",23.550000,27.150000,-90.000000,top
"C34","4.7uF","C_0402_1005Metric",5.790000,15.350000,180.000000,top
"C36","100nF","C_0402_1005Metric",32.400000,13.650000,-90.000000,top
"D1","LEDGR","LED_0402_1005Metric",21.560000,9.430000,-90.000000,top
"D2","LEDGR","LED_0402_1005Metric",16.960000,9.410000,-90.000000,top
"D3","LEDGR","LED_0402_1005Metric",28.800000,29.450000,-90.000000,top
"D4","PMEG6010CEJ","D_SOD-323F",5.560000,21.270000,90.000000,top
"D5","LEDGR","LED_0402_1005Metric",18.200000,23.800000,0.000000,top
"D6","LEDRED","LED_0603_1608Metric",15.850000,27.300000,0.000000,top
"D7","BAT54S","SOT-23",11.060000,11.460000,-90.000000,top
"D8","LEDRED","LED_0603_1608Metric",8.900000,26.100000,0.000000,top
"D9","BAT54S","SOT-23",14.710000,11.480000,-90.000000,top
"D10","LEDGR","LED_0402_1005Metric",26.800000,8.250000,90.000000,top
"J1","MOLEX Micro Fit 2x2","Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal",13.295000,34.695000,0.000000,top
